Title,Patent Number,Issue Date,Inventors,Assignee,Abstract,Google Patents URL
Enforcing unique page table permissions with shared page tables,10969980,2021-04-06,"David Hansen, Ashok Raj",Intel Corporation,"A processor includes a processing core; a filter register to store a first permissions filter; and a memory management unit (MMU), coupled to the processing core, the filter register and a first peripheral device associated with the first permissions filter, wherein the MMU comprises a logic circuit to manage a shared page table comprising entries corresponding to the processing core and the first peripheral device, wherein the logic circuit is to; receive a memory access request for a first pag...",https://patents.google.com/patent/US10969980
Network interface for data transport in heterogeneous computing environments,11025544,2021-06-01,"Rajesh M. Sankaran, Robert O. Sharp, Pratik M. Marolia, Parthasarathy Sarangam, Ashok Raj, Nrupal Jani",Intel Corporation,"A network interface controller can be programmed to direct write received data to a memory buffer via either a host-to-device fabric or an accelerator fabric. For packets received that are to be written to a memory buffer associated with an accelerator device, the network interface controller can determine an address translation of a destination memory address of the received packet and determine whether to use a secondary head. If a translated address is available and a secondary head is to be ...",https://patents.google.com/patent/US11025544
Apparatus and method to identify the source of an interrupt,11048512,2021-06-29,"Jason W. Brandt, Gilbert Neiger, Larisa Novakovsky, Sarathy Jayakumar, Ido Ouziel, Ashok Raj, Beeman C. Strong, Rupin H. Vakharwala, Andreas Kleen, Jeff Huxel",Intel Corporation,"An apparatus and method for processing non-maskable interrupt source information. For example, one embodiment of a processor comprises: a plurality of cores comprising execution circuitry to execute instructions and process data; local interrupt circuitry comprising a plurality of registers to store interrupt-related data including non-maskable interrupt (NMI) data related to a first NMI; and non-maskable interrupt (NMI) processing mode selection circuitry, responsive to a request, to select bet...",https://patents.google.com/patent/US11048512
"Read from memory instructions, processors, methods, and systems, that do not take exception on defective data",11068339,2021-07-20,"Hisham Shafi, Mohan J. Kumar, Sarathy Jayakumar, Ron Gabor, Sergiu D. Ghetie, Ashok Raj, Theodros Yigzaw, Neeraj Upasani",Intel Corporation,"A processor of an aspect includes a decode unit to decode a read from memory instruction. The read from memory instruction is to indicate a source memory operand and a destination storage location. The processor also includes an execution unit coupled with the decode unit. The execution unit, in response to the read from memory instruction, is to read data from the source memory operand, store an indication of defective data in an architecturally visible storage location, when the data is defect...",https://patents.google.com/patent/US11068339
Measuring per-node bandwidth within non-uniform memory access (NUMA) systems,11093414,2021-08-17,"Ashok Raj, Yao Jin, Anthony Luck",Intel Corporation,"A computing system includes a plurality of nodes including a first node, the first node including at least one core, a memory controller, a node-track register (MSR), and a monitoring counter array including a plurality of counters. The memory controller is to access a plurality of bits of the node-track MSR to determine a subset of nodes to be tracked, wherein the subset of nodes includes the first node and a second node. The memory controller is further to allocate a first counter of the plura...",https://patents.google.com/patent/US11093414
Pause communication from I/O devices supporting page faults,11169929,2021-11-09,"Rajesh M. Sankaran, Ashok Raj, Amin Firoozshahian, Rupin H. Vakharwala, Andreas Kleen, Stephen R. Van Doren, Omid Azizi, Mahesh Madhav, Mahesh Maddury",Intel Corporation,"A processing device includes a core to execute instructions, and memory management circuitry coupled to, memory, the core and an I/O device that supports page faults. The memory management circuitry includes an express invalidations circuitry, and a page translation permission circuitry. The memory management circuitry is to, while the core is executing the instructions, receive a command to pause communication between the I/O device and the memory. In response to receiving the command to pause ...",https://patents.google.com/patent/US11169929
Address space identifier management in complex input/output virtualization environments,11269782,2022-03-08,"Kun Tian, Rajesh M. Sankaran, Sanjay Kumar, Ashok Raj, Xiao Zheng",Intel Corporation,"Embodiment of this disclosure provides a mechanism to extend a workload instruction to include both untranslated and translated address space identifiers (ASIDs). In one embodiment, a processing device comprising a translation manager is provided. The translation manager receives a workload instruction from a guest application. The workload instruction comprises an untranslated (ASID) and a workload for an input/output (I/O) device. The untranslated ASID is translated to a translated ASID. The t...",https://patents.google.com/patent/US11269782
Hardware unit for reverse translation in a processor,11307996,2022-04-19,"Sarathy Jayakumar, Wei-Pin Chen, Ashok Raj, Theodros Yigzaw, John G. Holm",Intel Corporation,"In an embodiment, a processor for reverse translation includes a plurality of processing engines (PEs) to execute threads and a reverse translation circuit. The reverse translation circuit is to: determine a target module address of a corrupt portion of a memory module; determine a plurality of system physical address (SPA) addresses associated with the memory module; and for each SPA address in the plurality of SPA addresses, translate the SPA address into a translated module address, and in re...",https://patents.google.com/patent/US11307996
Process address space identifier virtualization using hardware paging hint,11461100,2022-10-04,"Kun Tian, Rajesh M. Sankaran, Sanjay Kumar, Philip R. Lantz, Ashok Raj, Yi-Feng Liu",Intel Corporation,"Process address space identifier virtualization uses hardware paging hint. The processing device (100) comprising: a processing core (110); and a translation circuit coupled to the processing core, the translation circuit to: receive a workload instruction from a guest application being executed by the processing device, the workload instruction comprising an untranslated guest process address space identifier (gPASID), a workload for an input/output (I/O) target device, and an identifier of a s...",https://patents.google.com/patent/US11461100
Apparatus and method to identify the source of an interrupt,11614939,2023-03-28,"Jason W. Brandt, Gilbert Neiger, Larisa Novakovsky, Sarathy Jayakumar, Ido Ouziel, Ashok Raj, Beeman C. Strong, Rupin H. Vakharwala, Andreas Kleen, Jeff Huxel",Intel Corporation,"An apparatus and method for processing non-maskable interrupt source information. For example, one embodiment of a processor comprises: a plurality of cores comprising execution circuitry to execute instructions and process data; local interrupt circuitry comprising a plurality of registers to store interrupt-related data including non-maskable interrupt (NMI) data related to a first NMI; and non-maskable interrupt (NMI) processing mode selection circuitry, responsive to a request, to select bet...",https://patents.google.com/patent/US11614939
Unified address translation for virtualization of input/output devices,11698866,2023-07-11,"Kun Tian, Rajesh M. Sankaran, Sanjay Kumar, Utkarsh Y. Kakaiya, Philip R. Lantz, Ashok Raj",Intel Corporation,"Embodiments of apparatuses, methods, and systems for unified address translation for virtualization of input/output devices are described. In an embodiment, an apparatus includes first circuitry to use at least an identifier of a device to locate a context entry and second circuitry to use at least a process address space identifier (PASID) to locate a PASID-entry. The context entry is to include at least one of a page-table pointer to a page-table translation structure and a PASID. The PASID-en...",https://patents.google.com/patent/US11698866
"Processing device, control unit, electronic device, method for the electronic device, and computer program for the electronic device",11740931,2023-08-29,"Rajesh M. Sankaran, Utkarsh Y. Kakaiya, Ashok Raj",Intel Corporation,"A processing device is provided. The processing device comprises an interface configured to receive information about an operation state of a surrogate processor. Further, the processing device comprises a processing circuitry configured to control the interface and to decide whether an interrupt addressed to the processing circuitry is processed by the processing circuitry or redirected to the surrogate processing circuitry based on an operation state of the processing circuitry and the surroga...",https://patents.google.com/patent/US11740931
Apparatus and method for performance state matching between source and target processors based on interprocessor interrupts,11775336,2023-10-03,"Ashok Raj, Jacob Pan, Srinivas Pandruvada",Intel Corporation,"Apparatus, method, and machine-readable medium to provide performance state matching between source and target processors based on inter-processor interrupts. An exemplary apparatus includes a target processor to execute a receiving task at a first performance level and a source processor to execute a sending task at a second performance level higher than the first performance level. The sending task is to store interrupt routing data indicating a pairing between the sending task and the receivi...",https://patents.google.com/patent/US11775336
Apparatus and method to identify the source of an interrupt,11900115,2024-02-13,"Jason W. Brandt, Gilbert Neiger, Larisa Novakovsky, Sarathy Jayakumar, Ido Ouziel, Ashok Raj, Beeman C. Strong, Rupin H. Vakharwala, Andreas Kleen, Jeff Huxel",Intel Corporation,"An apparatus and method for processing non-maskable interrupt source information. For example, one embodiment of a processor comprises: a plurality of cores comprising execution circuitry to execute instructions and process data; local interrupt circuitry comprising a plurality of registers to store interrupt-related data including non-maskable interrupt (NMI) data related to a first NMI; and non-maskable interrupt (NMI) processing mode selection circuitry, responsive to a request, to select bet...",https://patents.google.com/patent/US11900115
Network interface for data transport in heterogeneous computing environments,11929927,2024-03-12,"Rajesh M. Sankaran, Robert O. Sharp, Pratik M. Marolia, Parthasarathy Sarangam, Ashok Raj, Nrupal Jani",Intel Corporation,"A network interface controller can be programmed to direct write received data to a memory buffer via either a host-to-device fabric or an accelerator fabric. For packets received that are to be written to a memory buffer associated with an accelerator device, the network interface controller can determine an address translation of a destination memory address of the received packet and determine whether to use a secondary head. If a translated address is available and a secondary head is to be ...",https://patents.google.com/patent/US11929927
Unified address translation for virtualization of input/output devices,12013790,2024-06-18,"Kun Tian, Rajesh M. Sankaran, Sanjay Kumar, Utkarsh Y. Kakaiya, Philip R. Lantz, Ashok Raj",Intel Corporation,"Embodiments of apparatuses, methods, and systems for unified address translation for virtualization of input/output devices are described. In an embodiment, an apparatus includes first circuitry to use at least an identifier of a device to locate a context entry and second circuitry to use at least a process address space identifier (PASID) to locate a PASID-entry. The context entry is to include at least one of a page-table pointer to a page-table translation structure and a PASID. The PASID-en...",https://patents.google.com/patent/US12013790
"Device, method, and system to identify a page request to be processed after a reset event",12164444,2024-12-10,"Rajesh M. Sankaran, Utkarsh Y. Kakaiya, Ashok Raj, Rupin H. Vakharwala",Intel Corporation,"Techniques and mechanisms for an input-output memory management module (IOMMU) to indicate to software whether a page request by an endpoint device is to be serviced. In an embodiment, the IOMMU receives from the endpoint device a response to an invalidation wait message. Based on the response, the IOMMU provides first information which indicates to software that page requests have been flushed from the endpoint device. Page request message from the endpoint device are compatible with an interfa...",https://patents.google.com/patent/US12164444
Methods and apparatus to perform a pseudo-S3 protocol to update firmware and/or activate new firmware with a warm reset,12223308,2025-02-11,"Mohan J. Kumar, Sarathy Jayakumar, Murugasamy K. Nachimuthu, Ashok Raj, Brett Wang",Intel Corporation,"Methods, apparatus, systems, and articles of manufacture to perform a pseudo-S3 protocol to update firmware and/or activate new firmware with a warm reset are disclosed. An example apparatus includes an advanced configuration and power interface (ACPI) to: initiate a pseudo-sleep event in response to identifying a firmware update; and assert a power button event, the power button event to cause an operating system (OS) to prepare to enter into a sleep state; a basic input/output system (BIOS) to...",https://patents.google.com/patent/US12223308
Unified address translation for virtualization of input/output devices,12326818,2025-06-10,"Kun Tian, Rajesh M. Sankaran, Sanjay Kumar, Utkarsh Y. Kakaiya, Philip R. Lantz, Ashok Raj",Intel Corporation,"Embodiments of apparatuses, methods, and systems for unified address translation for virtualization of input/output devices are described. In an embodiment, an apparatus includes first circuitry to use at least an identifier of a device to locate a context entry and second circuitry to use at least a process address space identifier (PASID) to locate a PASID-entry. The context entry is to include at least one of a page-table pointer to a page-table translation structure and a PASID. The PASID-en...",https://patents.google.com/patent/US12326818
Network interface for data transport in heterogeneous computing environments,12335142,2025-06-17,"Rajesh M. Sankaran, Robert O. Sharp, Pratik M. Marolia, Parthasarathy Sarangam, Ashok Raj, Nrupal Jani",Intel Corporation,"A network interface controller can be programmed to direct write received data to a memory buffer via either a host-to-device fabric or an accelerator fabric. For packets received that are to be written to a memory buffer associated with an accelerator device, the network interface controller can determine an address translation of a destination memory address of the received packet and determine whether to use a secondary head. If a translated address is available and a secondary head is to be ...",https://patents.google.com/patent/US12335142
Method and computer program for data conversion in a heterogeneous communications network,6772320,2004-08-03,Ashok Raj,Intel Corporation,A method and computer program for data conversion in a heterogeneous communications network. This method and computer program converts data for computer systems having different data storage architectures so that these computer systems may simply and easily communicate over a network. This is most useful when converting data stored in little endian and big endian format. This method relies on creating the data structure used to convert the data using embedded macros that are not executed at run ...,https://patents.google.com/patent/US6772320
Cluster with multiple paths between hosts and I/O controllers,7039922,2006-05-02,"Ashok Raj, Rajesh Shah",Intel Corporation,"A host is coupled to a cluster fabric which includes a fabric-attached I/O controller. The host includes a processor, a memory coupled to the processor and an operating system. The operating system includes a kernel and a fabric bus driver to provide an I/O bus abstraction to the kernel for the cluster fabric to report multiple paths to a target fabric-attached I/O controller.",https://patents.google.com/patent/US7039922
Mechanism for allowing multiple entities on the same host to handle messages of same service class in a cluster,7194540,2007-03-20,"Anil Aggarwal, Ashok Raj, Oscar P. Pinto, Rajesh Shah, Bruce Schlobohm",Intel Corporation,A mechanism is provided at a host system to allow multiple entities (clients) to send and receive messages of a particular class of management services in a switched fabric for scalable solutions.,https://patents.google.com/patent/US7194540
Retargeting of platform interrupts,7447820,2008-11-04,Ashok Raj,Intel Corporation,"Systems, methods, and apparatus to retarget platform interrupts in a reconfigurable system. Some embodiments include identifying each processor of a multiprocessor system capable of processing Corrected Platform Error Interrupts, adding each processor capable of processing Corrected Platform Error Interrupts to a list of potential Corrected Platform Error Interrupt targets, and updating an interrupt table with a target processor for an interrupt, wherein the interrupt table is accessible by an i...",https://patents.google.com/patent/US7447820
I/O translation lookaside buffer performance,7636832,2009-12-22,"Ashok Raj, Rajesh Shah",Intel Corporation,"Methods and apparatus to provide improved input/output (I/O) address translation lookaside buffer performance are described. In one embodiment, one or more entries of a cache (e.g., an I/O address translation lookaside buffer) are locked in response to a request to lock the one or more entries. Other embodiments are also described.",https://patents.google.com/patent/US7636832
Mechanism for advanced server machine check recovery and associated system software enhancements,8671309,2014-03-11,"Mohan J. Kumar, Ashok Raj, Theodros Yigzaw, Narayan Ranganathan",Intel Corporation,"Embodiments of a hardware processor including a plurality of machine state registers (MSRs) are described. At least one of the MSRs includes an erroring logical processing (ELP) bit which when set, indicates that a particular thread executing on the hardware processor caused an error.",https://patents.google.com/patent/US8671309
Signaling software recoverable errors,9141454,2015-09-22,"Gilbert Neiger, Rajesh M. Sankaran, Mohan J. Kumar, Ashok Raj, John G. Holm",Intel Corporation,"Embodiments of an invention for signaling software recoverable errors are disclosed. In one embodiment, a processor includes a first unit, a programmable indicator, and a second unit. The first unit is to detect a poison error. The programmable indicator is to indicate whether the poison error is signaled as a machine check error or as one of a fault and a system management interrupt. The second unit is to signal the poison error as one of a fault and a system management error responsive to the ...",https://patents.google.com/patent/US9141454
Allocating machine check architecture banks,9384076,2016-07-05,"Malini K. Bhandaru, Ashok Raj, William G. Auld",Intel Corporation,"In accordance with embodiments disclosed herein, there is provided systems and methods for allocating machine check architecture banks. The processing device includes a plurality of machine check architecture banks to communicate a machine check error. The processing also includes an allocator to allocate during runtime of the processor a target machine check architecture bank of the plurality of machine check architecture banks. The runtime of the processor is during an occurrence of the machin...",https://patents.google.com/patent/US9384076
Determine when an error log was created,9389942,2016-07-12,"Ashok Raj, Narayan Ranganathan",Intel Corporation,"A computing system can include a machine check counter (MCC) including a current value. The current value indicates a system reboot resetting hardware of the computing system. The machine check counter includes a model specific register including a counter indicating the current value, the current value to be incremented upon the system reboot.",https://patents.google.com/patent/US9389942
Exchange error information from platform firmware to operating system,9396059,2016-07-19,"Mohan J. Kumar, Ashok Raj, Narayan Ranganathan",Intel Corporation,A computing system can include a platform firmware to monitor hardware errors and to notify an operating system when a corrective action is to be performed to address a hardware error. The computing system can also include an extended error log to describe a hardware error. The computing system can further include an action record to direct the operating system to perform the corrective action to address the hardware error.,https://patents.google.com/patent/US9396059
Hardware apparatuses and methods to check data storage devices for transient faults,9595349,2017-03-14,"Hisham Shafi, Mohan J. Kumar, Ron Gabor, Ashok Raj, Theodros Yigzaw",Intel Corporation,"Methods and apparatuses relating to a hardware memory test unit to check a section of a data storage device for a transient fault before the data is stored in and/or loaded from the section of the data storage device are described. In one embodiment, an integrated circuit includes a hardware processor to operate on data in a section of a data storage device, and a memory test unit to check the section of the data storage device for a transient fault before the data is stored in the section of th...",https://patents.google.com/patent/US9595349
Context based alert system,9652747,2017-05-16,Ashok Raj,Intel Corporation,"An embodiment allows for context based alerts/alarms. For example, an embodiment may automatically determine that a user is in a meeting with another person based on a meeting entry in the user's calendar. In such a situation the embodiment may divert an incoming phone call, which would ordinarily result in a ring tone, to go directly to voice mail based on the calendar entry. In an embodiment the alert may be delayed until the meeting concludes. Unlike conventional systems, various embodiments ...",https://patents.google.com/patent/US9652747
Instruction and logic for machine checking communication,9842015,2017-12-12,"Mohan J. Kumar, James B. Crossland, Ashok Raj, Jose A. Vargas, Theodros Yigzaw, William G. Auld, Cameron McNairy, Anthony Luck",Intel Corporation,A processor includes a logic to determine an error condition reported in an error bank. The error bank is communicatively coupled to the processor and is associated with logical processors of the processor. The processor includes another logic to generate an interrupt indicating the error condition. The processor includes yet another logic to selectively send the interrupt to a single one of the logical processors associated with the error bank.,https://patents.google.com/patent/US9842015
Instruction and logic for machine check interrupt management,9864603,2018-01-09,"Mohan J. Kumar, Ashok Raj",Intel Corporation,"A processor includes a front end including a decoder to decode an instruction, a scheduler to assign execution of the instruction to a core, and a core to execute the instruction. The instruction specifies that interrupts such as corrected machine check interrupts are to be selectively suppressed. The processor further includes an error handling unit including logic to determine that an interrupt caused by an error is to be created and that an error consumer has requested interrupt notification....",https://patents.google.com/patent/US9864603
Interfacing with block-based storage in a processor,9904586,2018-02-27,"Hisham Shafi, Mohan J. Kumar, Ron Gabor, Ashok Raj, Theodros Yigzaw",Intel Corporation,"In one embodiment, a processor includes a core having a fetch unit to fetch instructions, a decode unit to decode the instructions, and one or more execution units to execute the instructions. The core may further include: a first pair of block address range registers to store a start location and an end location of a block range within a non-volatile block storage coupled to the processor; and a block status storage to store an error indicator responsive to an occurrence of an error within the ...",https://patents.google.com/patent/US9904586
